fecha,region,canal,categoria,producto,vendedor,unidades,precio_unitario,descuento,total_venta,satisfaccion
2025-09-17,Atlántico,Marketplace,Café,Cápsulas x20,S. Vargas,5,29500.0,0.0,147500.0,4.7
2026-04-12,Antioquia,E-commerce,Café,Cápsulas x20,S. Vargas,7,30000.0,0.15,178500.0,4.9
2025-12-18,Antioquia,Distribuidor,Cuidado,Shampoo sólido,L. Gómez,15,26200.0,0.15,334050.0,3.1
2026-07-02,Antioquia,Marketplace,Snacks,Mix de frutos secos,L. Gómez,6,8800.0,0.05,50160.0,3.1
2025-11-13,Antioquia,Distribuidor,Snacks,Mix de frutos secos,M. Torres,11,12600.0,0.0,138600.0,3.6
2026-05-25,Eje Cafetero,Marketplace,Snacks,Mix de frutos secos,J. Peña,5,8600.0,0.0,43000.0,4.5
2026-04-19,Valle del Cauca,E-commerce,Bebidas,Agua saborizada,S. Vargas,21,7700.0,0.1,145530.0,4.5
2025-11-25,Antioquia,Marketplace,Café,Café en grano 1kg,M. Torres,7,43000.0,0.0,301000.0,2.9
2026-08-05,Atlántico,Tienda física,Cuidado,Shampoo sólido,D. Mejía,18,17400.0,0.1,281880.0,3.8
2026-03-24,Antioquia,E-commerce,Snacks,Mix de frutos secos,S. Vargas,24,9200.0,0.15,187680.0,4.2
2026-03-29,Bogotá,Tienda física,Café,Cápsulas x20,A. Rojas,29,38300.0,0.0,1110700.0,4.8
2026-07-03,Eje Cafetero,Distribuidor,Bebidas,Té frío 500ml,C. Ramírez,6,7100.0,0.0,42600.0,3.5
2026-06-01,Valle del Cauca,E-commerce,Snacks,Barra de cereal,C. Ramírez,12,10900.0,0.0,130800.0,4.0
2026-03-30,Eje Cafetero,E-commerce,Bebidas,Jugo natural 1L,S. Vargas,8,6900.0,0.05,52440.0,4.2
2025-09-04,Atlántico,Marketplace,Café,Café molido 500g,S. Vargas,14,25800.0,0.0,361200.0,3.7
2026-02-12,Bogotá,Distribuidor,Snacks,Barra de cereal,D. Mejía,12,11200.0,0.0,134400.0,3.4
2026-04-22,Atlántico,E-commerce,Café,Café molido 500g,,7,30100.0,0.0,210700.0,
2025-12-20,Santander,Marketplace,Bebidas,Té frío 500ml,C. Ramírez,2,9000.0,0.15,15300.0,4.9
2025-10-20,Antioquia,Tienda física,Cuidado,Jabón artesanal,L. Gómez,4,21700.0,0.0,86800.0,2.9
2025-09-06,Atlántico,Distribuidor,Snacks,Barra de cereal,M. Torres,11,10200.0,0.0,112200.0,3.2
2026-05-02,Valle del Cauca,Marketplace,Cuidado,Jabón artesanal,L. Gómez,1,21100.0,0.0,21100.0,3.2
2025-08-08,Bogotá,Distribuidor,Café,Café en grano 1kg,L. Gómez,1,36400.0,0.0,36400.0,3.6
2026-01-12,Bogotá,Marketplace,Cuidado,Jabón artesanal,L. Gómez,21,22500.0,0.1,425250.0,3.2
2026-02-09,Eje Cafetero,Marketplace,Cuidado,Jabón artesanal,C. Ramírez,14,19000.0,0.05,252700.0,3.8
2025-09-07,Eje Cafetero,Tienda física,Bebidas,Té frío 500ml,J. Peña,23,7300.0,0.0,167900.0,3.4
2026-06-18,Eje Cafetero,Distribuidor,Café,Café en grano 1kg,D. Mejía,19,30300.0,0.1,518130.0,4.2
2025-09-09,Bogotá,Marketplace,Café,Café molido 500g,D. Mejía,11,37800.0,0.05,395010.0,3.7
2025-12-13,Antioquia,Marketplace,Cuidado,Crema corporal,D. Mejía,19,27800.0,0.15,448970.0,3.1
2025-12-05,Atlántico,Distribuidor,Bebidas,Jugo natural 1L,C. Ramírez,25,9600.0,0.1,216000.0,3.9
2026-02-23,Atlántico,Tienda física,Snacks,Mix de frutos secos,L. Gómez,9,9300.0,0.0,83700.0,4.7
2025-09-12,Bogotá,E-commerce,Bebidas,Agua saborizada,S. Vargas,7,8300.0,0.05,55195.0,4.9
2025-11-03,Atlántico,Marketplace,Snacks,Mix de frutos secos,D. Mejía,6,13200.0,0.15,67320.0,3.1
2026-01-04,Santander,Distribuidor,Bebidas,Jugo natural 1L,J. Peña,6,6500.0,0.15,33150.0,3.2
2025-12-11,Antioquia,E-commerce,Snacks,Mix de frutos secos,L. Gómez,11,12700.0,0.0,139700.0,3.4
2025-12-10,Bogotá,Marketplace,Snacks,Chips de plátano,C. Ramírez,28,17400.0,0.0,487200.0,3.8
2025-12-03,Bogotá,Distribuidor,Cuidado,Crema corporal,M. Torres,14,33700.0,0.1,424620.0,4.8
2026-02-13,Santander,Distribuidor,Snacks,Barra de cereal,C. Ramírez,16,9800.0,0.15,133280.0,3.0
2026-06-08,Bogotá,Distribuidor,Bebidas,Té frío 500ml,A. Rojas,12,9300.0,0.0,111600.0,4.4
2025-11-19,Atlántico,Distribuidor,Café,Café en grano 1kg,C. Ramírez,15,35800.0,0.0,537000.0,3.2
2026-04-17,Atlántico,Tienda física,Cuidado,Jabón artesanal,C. Ramírez,16,17800.0,0.1,256320.0,4.2
2026-02-26,Valle del Cauca,Distribuidor,Bebidas,Jugo natural 1L,J. Peña,4,6500.0,0.0,26000.0,4.4
2026-02-05,Bogotá,Distribuidor,Cuidado,Crema corporal,L. Gómez,9,23800.0,0.0,214200.0,4.8
2026-03-11,Atlántico,Distribuidor,Café,Café molido 500g,M. Torres,8,28400.0,0.0,227200.0,2.8
2026-05-16,Atlántico,Tienda física,Snacks,Chips de plátano,M. Torres,1,9800.0,0.0,9800.0,3.6
2025-10-28,Bogotá,Marketplace,Snacks,Mix de frutos secos,J. Peña,6,11500.0,0.0,69000.0,
2025-08-29,Bogotá,Marketplace,Cuidado,Crema corporal,S. Vargas,23,25500.0,0.0,586500.0,4.5
2025-11-28,Antioquia,Marketplace,Cuidado,Shampoo sólido,C. Ramírez,19,24300.0,0.0,461700.0,3.7
2026-04-29,Valle del Cauca,Tienda física,Snacks,Barra de cereal,C. Ramírez,24,9900.0,0.0,237600.0,4.7
2026-07-17,Valle del Cauca,Tienda física,Café,Cápsulas x20,,29,27900.0,0.05,768645.0,4.7
2026-01-10,Santander,E-commerce,Cuidado,Crema corporal,M. Torres,4,21100.0,0.05,80180.0,2.9
2026-06-19,Antioquia,Marketplace,Cuidado,Crema corporal,D. Mejía,18,20700.0,0.05,353970.0,3.2
2026-04-06,Bogotá,E-commerce,Cuidado,Jabón artesanal,A. Rojas,9,28800.0,0.1,233280.0,4.2
2025-08-27,Eje Cafetero,Distribuidor,Snacks,Mix de frutos secos,C. Ramírez,19,9800.0,0.1,167580.0,2.9
2026-04-22,Antioquia,Tienda física,Cuidado,Shampoo sólido,M. Torres,28,20600.0,0.0,576800.0,3.1
2026-04-15,Eje Cafetero,E-commerce,Bebidas,Té frío 500ml,A. Rojas,1,6600.0,0.0,6600.0,4.5
2025-10-27,Valle del Cauca,Marketplace,Bebidas,Agua saborizada,A. Rojas,19,7300.0,0.0,138700.0,3.4
2026-04-23,Valle del Cauca,Tienda física,Snacks,Barra de cereal,M. Torres,20,8500.0,0.05,161500.0,4.2
2025-12-27,Antioquia,Distribuidor,Bebidas,Jugo natural 1L,D. Mejía,20,9300.0,0.0,186000.0,3.8
2026-04-30,Santander,Marketplace,Café,Café en grano 1kg,J. Peña,19,30400.0,0.0,577600.0,3.6
2026-02-11,Valle del Cauca,Tienda física,Snacks,Barra de cereal,J. Peña,9,9800.0,0.0,88200.0,4.6
2025-12-14,Santander,Distribuidor,Bebidas,Agua saborizada,C. Ramírez,15,9500.0,0.15,121125.0,3.3
2026-01-02,Santander,Distribuidor,Cuidado,Crema corporal,C. Ramírez,16,18200.0,0.15,247520.0,2.8
2025-08-08,Bogotá,Distribuidor,Bebidas,Jugo natural 1L,A. Rojas,11,8400.0,0.05,87780.0,3.5
2025-10-14,Santander,Marketplace,Snacks,Barra de cereal,M. Torres,14,9900.0,0.15,117810.0,3.8
2025-09-08,Valle del Cauca,Marketplace,Snacks,Chips de plátano,C. Ramírez,14,9900.0,0.0,138600.0,4.2
2026-05-21,Eje Cafetero,Marketplace,Bebidas,Agua saborizada,C. Ramírez,7,6700.0,0.0,46900.0,2.9
2026-05-06,Antioquia,E-commerce,Café,Café en grano 1kg,C. Ramírez,8,28900.0,0.0,231200.0,4.1
2026-07-09,Atlántico,E-commerce,Snacks,Mix de frutos secos,D. Mejía,4,10500.0,0.05,39900.0,4.1
2026-04-24,Valle del Cauca,Tienda física,Bebidas,Té frío 500ml,D. Mejía,12,7500.0,0.15,76500.0,3.9
2026-05-09,Atlántico,Marketplace,Café,Café en grano 1kg,J. Peña,22,26400.0,0.0,580800.0,3.3
2025-08-26,Eje Cafetero,Distribuidor,Café,Café en grano 1kg,S. Vargas,18,30200.0,0.0,543600.0,4.0
2026-03-18,Eje Cafetero,E-commerce,Bebidas,Jugo natural 1L,D. Mejía,21,6700.0,0.0,140700.0,4.4
2025-10-27,Atlántico,Distribuidor,Bebidas,Té frío 500ml,D. Mejía,18,6800.0,0.05,116280.0,4.2
2026-07-27,Santander,Tienda física,Cuidado,Crema corporal,J. Peña,18,20500.0,0.1,332100.0,4.5
2026-02-23,Antioquia,E-commerce,Café,Cápsulas x20,C. Ramírez,8,28000.0,0.0,224000.0,4.2
2025-10-28,Eje Cafetero,Tienda física,Bebidas,Té frío 500ml,S. Vargas,17,6900.0,0.0,117300.0,2.9
2025-08-30,Valle del Cauca,E-commerce,Café,Cápsulas x20,S. Vargas,14,34000.0,0.1,428400.0,2.9
2026-08-06,Antioquia,E-commerce,Cuidado,Jabón artesanal,C. Ramírez,14,23800.0,0.15,283220.0,4.6
2026-06-26,Bogotá,E-commerce,Bebidas,Jugo natural 1L,M. Torres,15,8300.0,0.15,105825.0,3.4
2026-01-26,Bogotá,Distribuidor,Cuidado,Crema corporal,J. Peña,13,25600.0,0.0,332800.0,4.5
2026-06-11,Santander,Tienda física,Cuidado,Crema corporal,L. Gómez,19,20800.0,0.0,395200.0,3.9
2025-09-26,Eje Cafetero,Tienda física,Bebidas,Jugo natural 1L,A. Rojas,9,7300.0,0.0,65700.0,4.6
2025-11-02,Santander,E-commerce,Cuidado,Jabón artesanal,C. Ramírez,12,27400.0,0.0,328800.0,3.6
2025-09-24,Antioquia,Marketplace,Cuidado,Shampoo sólido,M. Torres,1,19500.0,0.1,17550.0,3.4
2025-11-24,Antioquia,Tienda física,Snacks,Barra de cereal,L. Gómez,4,13800.0,0.0,55200.0,4.5
2026-07-29,Valle del Cauca,Distribuidor,Café,Cápsulas x20,C. Ramírez,27,31400.0,0.15,720630.0,3.7
2026-07-03,Antioquia,Distribuidor,Café,Café en grano 1kg,A. Rojas,23,27000.0,0.1,558900.0,3.2
2026-06-25,Antioquia,Tienda física,Snacks,Barra de cereal,S. Vargas,10,8400.0,0.05,79800.0,4.0
2026-01-19,Atlántico,Distribuidor,Snacks,Barra de cereal,J. Peña,19,9400.0,0.0,178600.0,3.8
2026-07-29,Antioquia,Distribuidor,Snacks,Chips de plátano,S. Vargas,10,10000.0,0.0,100000.0,3.1
2025-12-11,Santander,Distribuidor,Bebidas,Agua saborizada,M. Torres,24,8300.0,0.0,199200.0,3.4
2025-09-28,Bogotá,E-commerce,Snacks,Chips de plátano,J. Peña,1,13600.0,0.15,11560.0,3.8
2025-11-15,Bogotá,Distribuidor,Café,Cápsulas x20,L. Gómez,27,45000.0,0.05,1154250.0,2.9
2026-02-27,Antioquia,Distribuidor,Cuidado,Shampoo sólido,C. Ramírez,10,20000.0,0.05,190000.0,4.4
2026-03-15,Eje Cafetero,E-commerce,Cuidado,Jabón artesanal,C. Ramírez,14,22400.0,0.15,266560.0,3.8
2026-01-14,Eje Cafetero,Tienda física,Bebidas,Agua saborizada,S. Vargas,18,6500.0,0.15,99450.0,3.1
2026-03-11,Bogotá,Marketplace,Cuidado,Crema corporal,D. Mejía,10,24500.0,0.15,208250.0,3.2
2026-07-08,Atlántico,Marketplace,Bebidas,Té frío 500ml,M. Torres,16,6300.0,0.0,100800.0,4.4
2025-11-17,Santander,Marketplace,Bebidas,Té frío 500ml,L. Gómez,12,9100.0,0.15,92820.0,3.9
2026-06-30,Valle del Cauca,Marketplace,Bebidas,Agua saborizada,L. Gómez,13,7500.0,0.0,97500.0,3.9
2025-10-08,Bogotá,Distribuidor,Bebidas,Agua saborizada,,6,7900.0,0.05,45030.0,2.8
2026-03-09,Eje Cafetero,Distribuidor,Cuidado,Shampoo sólido,A. Rojas,11,18500.0,0.05,193325.0,4.9
2026-02-23,Antioquia,E-commerce,Cuidado,Jabón artesanal,D. Mejía,12,23700.0,0.0,284400.0,4.6
2025-11-13,Santander,E-commerce,Cuidado,Shampoo sólido,L. Gómez,15,30100.0,0.05,428925.0,5.0
2026-05-14,Valle del Cauca,E-commerce,Snacks,Barra de cereal,S. Vargas,10,9600.0,0.05,91200.0,3.4
2026-03-13,Bogotá,Distribuidor,Snacks,Barra de cereal,L. Gómez,7,11000.0,0.05,73150.0,4.2
2025-09-19,Valle del Cauca,Marketplace,Bebidas,Té frío 500ml,J. Peña,21,5900.0,0.1,111510.0,4.5
2025-10-17,Santander,Tienda física,Bebidas,Agua saborizada,J. Peña,11,6000.0,0.0,66000.0,4.1
2026-05-30,Antioquia,Marketplace,Snacks,Mix de frutos secos,M. Torres,9,8900.0,0.0,80100.0,4.8
2026-05-07,Eje Cafetero,Tienda física,Snacks,Chips de plátano,M. Torres,6,9900.0,0.0,59400.0,3.9
2025-11-24,Atlántico,Tienda física,Café,Cápsulas x20,L. Gómez,1,39300.0,0.0,39300.0,3.3
2025-10-17,Santander,Tienda física,Cuidado,Crema corporal,L. Gómez,1,20400.0,0.0,20400.0,3.2
2026-06-09,Valle del Cauca,Marketplace,Café,Café molido 500g,S. Vargas,15,30100.0,0.05,428925.0,3.5
2026-04-02,Atlántico,Tienda física,Bebidas,Jugo natural 1L,A. Rojas,16,6900.0,0.0,110400.0,2.9
2026-01-23,Atlántico,Marketplace,Café,Cápsulas x20,C. Ramírez,19,30500.0,0.0,579500.0,3.3
2026-03-07,Bogotá,Distribuidor,Snacks,Barra de cereal,J. Peña,7,11700.0,0.0,81900.0,3.8
2026-03-11,Bogotá,Distribuidor,Bebidas,Agua saborizada,L. Gómez,24,7900.0,0.05,180120.0,3.5
2025-12-24,Eje Cafetero,Marketplace,Bebidas,Té frío 500ml,M. Torres,15,8600.0,0.0,129000.0,4.1
2026-06-28,Atlántico,Marketplace,Café,Café molido 500g,L. Gómez,7,29000.0,0.0,203000.0,3.5
2025-08-10,Atlántico,Tienda física,Café,Café molido 500g,M. Torres,17,29500.0,0.1,451350.0,4.2
2026-07-29,Bogotá,Marketplace,Café,Café molido 500g,,1,37000.0,0.0,37000.0,4.3
2025-08-25,Eje Cafetero,Tienda física,Cuidado,Jabón artesanal,S. Vargas,5,20800.0,0.1,93600.0,3.4
2026-01-08,Bogotá,Distribuidor,Snacks,Barra de cereal,S. Vargas,23,10200.0,0.1,211140.0,4.1
2025-09-03,Santander,Tienda física,Cuidado,Shampoo sólido,L. Gómez,19,19100.0,0.15,308465.0,3.8
2025-08-14,Santander,E-commerce,Cuidado,Shampoo sólido,A. Rojas,3,21300.0,0.05,60705.0,3.0
2026-07-02,Antioquia,Tienda física,Cuidado,Jabón artesanal,M. Torres,13,20300.0,0.0,263900.0,4.7
2025-10-12,Valle del Cauca,E-commerce,Cuidado,Jabón artesanal,M. Torres,14,21200.0,0.15,252280.0,4.8
2026-02-10,Bogotá,Distribuidor,Snacks,Chips de plátano,C. Ramírez,6,11400.0,0.0,68400.0,4.4
2025-08-12,Eje Cafetero,Tienda física,Café,Café molido 500g,S. Vargas,6,27900.0,0.0,167400.0,
2026-04-13,Valle del Cauca,Marketplace,Café,Café en grano 1kg,J. Peña,9,32000.0,0.0,288000.0,4.9
2025-10-29,Atlántico,Marketplace,Cuidado,Crema corporal,J. Peña,14,21600.0,0.1,272160.0,3.4
2025-09-07,Eje Cafetero,Tienda física,Bebidas,Agua saborizada,M. Torres,18,6400.0,0.05,109440.0,3.6
2026-07-23,Antioquia,Marketplace,Cuidado,Shampoo sólido,J. Peña,5,18400.0,0.0,92000.0,
2026-03-11,Bogotá,Distribuidor,Snacks,Chips de plátano,M. Torres,20,12600.0,0.1,226800.0,3.4
2026-05-14,Santander,Tienda física,Cuidado,Crema corporal,D. Mejía,2,19700.0,0.05,37430.0,3.6
2025-12-04,Bogotá,Marketplace,Bebidas,Agua saborizada,D. Mejía,9,10600.0,0.0,95400.0,3.6
2026-05-10,Valle del Cauca,Tienda física,Café,Cápsulas x20,A. Rojas,15,26800.0,0.1,361800.0,4.8
2026-05-01,Santander,E-commerce,Bebidas,Jugo natural 1L,J. Peña,15,6800.0,0.15,86700.0,3.6
2026-05-22,Santander,E-commerce,Bebidas,Jugo natural 1L,J. Peña,18,6900.0,0.05,117990.0,4.7
2026-02-13,Antioquia,Distribuidor,Cuidado,Jabón artesanal,C. Ramírez,8,19600.0,0.0,156800.0,2.9
2026-05-23,Santander,E-commerce,Cuidado,Shampoo sólido,L. Gómez,10,20200.0,0.0,202000.0,3.0
2026-03-23,Bogotá,Distribuidor,Snacks,Barra de cereal,C. Ramírez,15,10400.0,0.0,156000.0,4.0
2026-08-03,Bogotá,Marketplace,Cuidado,Crema corporal,C. Ramírez,18,26900.0,0.15,411570.0,3.4
2026-05-23,Bogotá,Marketplace,Snacks,Chips de plátano,S. Vargas,19,11200.0,0.0,212800.0,3.3
2025-08-26,Bogotá,Tienda física,Bebidas,Jugo natural 1L,J. Peña,26,9000.0,0.0,234000.0,4.5
2026-08-05,Bogotá,E-commerce,Cuidado,Jabón artesanal,J. Peña,13,24800.0,0.15,274040.0,4.1
2026-03-20,Valle del Cauca,Distribuidor,Café,Café en grano 1kg,,14,27000.0,0.0,378000.0,3.9
2025-11-01,Antioquia,Tienda física,Cuidado,Jabón artesanal,D. Mejía,1,28200.0,0.0,28200.0,3.3
2026-06-19,Antioquia,Marketplace,Bebidas,Agua saborizada,D. Mejía,17,7400.0,0.05,119510.0,2.8
2025-09-14,Valle del Cauca,E-commerce,Cuidado,Crema corporal,S. Vargas,4,19600.0,0.0,78400.0,2.9
2026-03-26,Antioquia,Distribuidor,Snacks,Barra de cereal,M. Torres,15,9000.0,0.0,135000.0,2.9
2026-05-26,Antioquia,Distribuidor,Bebidas,Jugo natural 1L,M. Torres,7,7300.0,0.0,51100.0,5.0
2025-09-05,Atlántico,Distribuidor,Snacks,Chips de plátano,J. Peña,14,8400.0,0.0,117600.0,3.8
2025-12-18,Bogotá,Marketplace,Snacks,Mix de frutos secos,J. Peña,10,13900.0,0.15,118150.0,3.1
2026-06-30,Santander,Distribuidor,Café,Café en grano 1kg,C. Ramírez,28,28800.0,0.05,766080.0,4.5
2026-05-03,Valle del Cauca,Marketplace,Bebidas,Té frío 500ml,M. Torres,20,6300.0,0.0,126000.0,4.7
2026-05-01,Antioquia,E-commerce,Snacks,Chips de plátano,A. Rojas,15,10400.0,0.0,156000.0,4.4
2025-12-25,Antioquia,E-commerce,Snacks,Mix de frutos secos,A. Rojas,9,12200.0,0.15,93330.0,3.7
2025-09-04,Valle del Cauca,Marketplace,Bebidas,Jugo natural 1L,D. Mejía,11,6000.0,0.05,62700.0,3.8
2026-07-13,Antioquia,Distribuidor,Bebidas,Té frío 500ml,J. Peña,24,6800.0,0.0,163200.0,3.9
